,name,slug,mc,sector,category,tagline,desc
AUTO,Autofarm,autofarm,,Asset Management,Financial,Automated DeFi Suite. Automated Yield farming. DEX Aggregator.,"Autofarm is a yield aggregator in the Binance Smart Chain (BSC) Ecosystem. It provides multiple ""Vaults"" where participants can pool their tokens and liquidity in order to receive rewards. Rewards are automatically reinvested in order to provide greater returns. In addition, users  receive AUTO token rewards based on the value of tokens staked on the platform. The AUTO token will be the native governance token of the platform allowing users to vote and collect fees from yield aggregation.  Autofarm was created in December of 2020 by Twitter user @mildgiraffe."
WAIF,Waifu,waifu,,Misc,Media and Entertainment,,
CTIC,Coimatic,coimatic,,,,,
INCR,Incrementum,incrementum,,,,,
BITE,BitEthereum,bitethereum,,,,A Bitcoin fork modeled after Ethereum,"BitEthereum is a Bitcoin fork that aims to improve on Bitcoin’s transaction processing speed and token issuance abilities.
"
CCC,Concierge Coin,concierge-coin,,,,,
NANJ,NANJCOIN,nanjcoin,,,,,
SHRM,Shrooms,shrooms,,,,,
CAP,Cap,cap,,,,,
VIEW,View,view,,,,,
VC,VirtualCoin,virtualcoin,,,,,
PUT,Profile Utility Token,profile-utility-token,,,,,
VNTX,VNTX,vntx,,,,,
XNS,Insolar,insolar,,,,,
MRK,MARK.SPACE,mark-space-1,,,,,
PORTAL,Portal,portal,,,,,
KR,Krypton,krypton,,,,,
STQ,Storiqa,storiqa-1,,,,,
ARTH,ARTH,arth,,,,,
HPC,HappyPay,happycoin,,,,,
CON,PayCon,paycon,,,,,
MNM,Mineum,mineum,,,,,
SPCC,Specie,specie,,,,,
OOO,Om,om,,,,,
LTCR,Litecred,litecred,,,,,
SURGE,SurgeCoin,surgecoin,,,,,
TER,TerraNova,terranova,,,,,
ARN,Aeron,aeron,,Misc,Services,,
ELIT,ELI Token,eli-token,,,,,
MEDIA,Media Network,media-network,,,,,
BONES,Bones,bones,,,,,
MUX,Manutax,manutax,,,,,
MIRO,MIRO,miro,,,,,
DTEM,Dystem,dystem,,,,,
ADEL,Akropolis Delphi,akropolis-delphi,,Lending,Financial,,
IFLT,InflationCoin,inflationcoin,,,,,
DTT,darktrontoken,darktrontoken,,,,,
GNR,Gainer,gainer,,,,,
TIMEC,TIMEC,timec,,,,,
USHA,USHA,usha,,,,,
ECH,Etherecash,etherecash-1,,,,,
CAD,Canadian Dollar,canadian-dollar,,,,,
CYP,CypherPunkCoin,cypherpunkcoin,,,,,
DXC,devil,devil,,,,,
POP,PopularCoin,popularcoin,,,,,
SEAD,SEAD,sead,,,,,
TRF,CaixaPay,travelflex,,,,,
CKUSD,CK USD,ck-usd,,,,,
CRE,Cybereits,cybereits,,,,,
WAM,WAM,wam,,,,,
LEA,LeaCoin,leacoin,,,,,
KBC,Karatgold Coin,karatgold-coin,,Payment Platforms,Payments,,
LIGHT,LightChain,lightchain,,,,,
BCW,Bitcoin Wonder,bitcoin-wonder,,,,A Proof-of-Stake Bitcoin fork for enterprise use,"Bitcoin Wonder is a Bitcoin fork that transitioned to Proof-of-Stake and focuses on smart contracts and enterprise partnerships.
"
PX,PXcoin,pxcoin,,,,,
HBN,HoboNickels,hobonickels,,,,,
DPN,DIPNET,dipnet,,,,,
LOTEU,Loteo,loteo,,Media and Entertainment,Gaming,A digital peer-to-peer automated platform for gaming and gambling,"Loteo is a fully automated, peer-to-peer online gaming and gambling business focused on making gaming more accessible. "
CARBON,Carboncoin,carboncoin,,,,,
GOB,Game Of Bitcoins,game-of-bitcoins,,,,,
DVG,DVG,dvg,,Asset Management,Financial,,
VTX,Vertex,vertex,,,,,
SBA,simplyBrand,simplybrand,,,,,
DGPT,DigiPulse,digipulse-1,,,,,
CRX,ChronosCoin,chronoscoin,,,,,
BCRM,Bitcoin Rm,bitcoin-rm,,,,A Bitcoin “smart fork” for retail merchants,"Bitcoin RM is a Bitcoin fork focused on performance optimization for retail merchant cryptocurrency use cases.
"
WIKI,Wiki Token,wiki-token,,,,,
ZAR,South African Rand,south-african-rand,,,,,
XMG,Magi,magi,,,,,
SKILL,SKILLCOIN,skillcoin,,,,,
XEL,XEL,xel,,,,,
WYV,Wyvern,wyvern,,,,,
ECO,EcoCoin,ecocoin,,,,,
EXT,Experience Token,experience-token,,,,,
PBKX,PBKXToken,pbkxtoken,,,,,
XAX,XAX,xax,,,,,
OAK,The Acorn Collective,the-acorn-collective,,,,,
KB3,B3Coin,b3coin,,,,,
ZACA,ZACA,zaca,,,,,
EPIC,Epic Cash,epic-cash,,Currencies,Payments,A privacy currency built on MimbleWimble for CPU and GPU mining,Epic Cash is a privacy currency built on MimbleWimble designed for CPU and GPU mining.
VITALCOIN,VitalCoin,vitalcoin,,,,,
BPA,Bitcoin Pizza,bitcoin-pizza,,,,A Bitcoin fork for directed acyclic graphs (DAGs) ,Bitcoin Pizza is a Bitcoin chain fork that experiments with implementing directed acyclic graphs (DAGs). 
ZOOM,ZoomCoin,zoomcoin,,,,,
CHL,ChallengeDac,challengedac,,,,,
NOBL,NobleCoin,noblecoin,,,,,
DANC,DrAgoNCoin,dragoncoin,,,,,
TCR,Thecreed,thecreed,,,,,
OPTC,Optical Network,optical-network,,,,,
XC,XCurrency,xcurrency,,,,,
CAMI,CAMI,cami,,,,,
QTG,QTG,qtg,,,,,
LSD,lsd,lsd,,,,,
EUC,Eurocoin,eurocoin,,,,,
GREED,GREED,greed,,,,,
TBAR,Titanium BAR,titanium-bar,,,,,
ZPT,Zeepin,zeepin-1,,,,,
LHC,pentaquark,pentaquark,,,,,
CCN,CannaCoin,cannacoin,,,,,
EVO,Evotion,evotion,,,,,
JPC,Jupiter,jupiter,,,,,
PNG,PNG,png,,Decentralized Exchanges,Financial,,
TPG,Trollpayment,trollpayment,,,,,
DCY,Dinastycoin,dinastycoin,,,,,
MART,MART,mart,,,,,
IQ,Everipedia IQ Tokens Bitfinex,everipedia-iq-tokens-bitfinex-1,,,,,
XRA,Ratecoin,ratecoin,,,,,
CDX,CDX Network,cdx-network,,,,,
DWS,DWS,dws,,,,,
DSE,Disse,disse,,,,,
PAYP,PayPeer,paypeer,,,,,
ERY,Eryllium,eryllium,,,,,
GUCCIONECOIN,GuccioneCoin,guccionecoin,,,,,
PMNT,Paymon,paymon,,,,,
NBTK,NBTK,nbtk,,,,,
TPI,TPICoin,tpicoin,,,,,
BMXX,Multiplier (BSC),multiplier-bsc,,,,,
LDM,Ludum token,ludum-token,,,,,
FRD,Farad,farad-1,,,,,
STC,StarChain,starchain,,,,,
NAM,NAM COIN,nam-coin,,,,,
INF,InfChain,infchain,,,,,
300,300 Token,300-token,,,,,
3S,Money,money,,,,,
DEL,DelChain,delchain,,,,,
NTC,Natcoin,natcoin,,,,,
CRY,CRY,cry,,,,,
WW,WayaWolfCoin,wayawolfcoin,,,,,
CMC,communist,communist,,,,,
SCOTT,Scott,scott,,,,,
VRES,VReS,vres,,,,,
CV,carVertical,carvertical,,,,,
CSPR,CasperLabs,casperlabs,,Smart Contract Platforms,Infrastructure,,"Casper is a layer-one blockchain purpose-built for application development and scalability. It aims to support applications without sacrificing usability, cost, decentralization, or security. Casper uses a CBC Casper-based Proof-of-Stake (PoS) consensus protocol called Highway to secure the network and verify transactions."
HIGH,High Gain,high-gain,,,,,
DCRE,DeltaCredits,deltacredits,,,,,
ADL,Adel,adel,,,,Incubator for blockchain innovation,Adel is a technology incubator for blockchain projects
DPAY,DelightPay,delightpay,,,,,
SPK,SparksPay,sparkspay,,,,,
INDI,Indicoin,indicoin-1,,,,,
MCI,Musiconomi,musiconomi,,,,,
BTRN,Biotron,biotron-1,,,,,
SLT,Smartlands Network,smartlands-1,,,,Tokenization of agricultural assets,
ETCO,Ether,ether,,,,,
FAITH,FAITH,faith,,,,,
BSB,BSB,bsb,,,,,
CORG,Corgi,corgi,,,,,
BCH3X,BCH3X,bch3x,,,,,
BRK,Breakout,breakout,,,,,
XRG,Exergy,exergy,,,,A platform for monetizing and distributing energy data,"Exergy is an customer-centric open-source project to control, distribute, and monetize energy data."
XDX,Diem,libra,,Stablecoins,Payments,"A permissioned, blockchain-based stablecoin payment system","Diem (formerly known as Libra) is a permissioned, blockchain-based payment system designed to enable the open, instant, and low-cost movement of money. The Diem payment system will support currencies, such as ≋USD, ≋GBP, and ≋EUR, which will have the same value in the country’s respective currency. It will also feature a combination of these digital currencies, called ≋XDX. All Diem coins will be fully backed by cash held by a geographically distributed network of custodian banks. "
611,SixEleven,sixeleven,,,,,
OPTION,OptionCoin,optioncoin,,,,,
NTY,Nexty,nexty,,,,,
UNIC,UniCoin,unicoin-1,,,,,
THEMIS,Themis,themis,,,,,
BCBC,Bitcoin@CBC,bitcoin-cbc,,,,Another Bitcoin fork,"Bitcoin@CBC is another Bitcoin fork. 
"
SRCOIN,SRCOIN,srcoin-1,,,,,
CMX,CoinMiningIndex,coinminingindex,,,,,
BUEN,BUEN,buen,,,,,
DEW,DEW,dew,,,,,
GENIUS,GENIUS,genius,,,,,
MZC,MazaCoin,mazacoin,,,,,
ATC,Augmint,augmint,,,,A platform for creating fully colateralized stablecoins,"Augmint is a platform for launching asset-backed stablecoins.
"
MAXI,Maxicoin,maxicoin,,,,,
SENYO,SENYO,senyo,,,,,
CSC,CasinoCoin,casinocoin,,,,,
HOLD,HOLD,hold-1,,,,,
GONT,GoNetwork,gonetwork-1,,,,,
MGC,MGC,mgc,,,,,
LGR,Logarithm,logarithm,,,,,
PROUD,PROUD Money,proud-money,,,,,
SBIT,squarebit,squarebit,,,,,
HUB,Hubcoin,hubcoin,,,,,
UXX.COMM,Uranium,uranium,,,,,
HTC,Hitcoin,hitcoin,,,,,
NLX,Nullex,nullex,,,,,
RCT,RealChain,realchain,,,,,
IPC,IPChain,ipchain,,Enterprise and BaaS,Infrastructure,,
CACH,CacheCoin,cachecoin,,,,,
NRO,Neuro,neuro,,,,,
CPY,COPYTRACK,copytrack-1,,,,,
RKT,Rock,rock,,,,,
CMCT,Crowd Machine,crowd-machine-1,,,,,
HOLY,Holy Trinity,holy-trinity,,,,,
VOLLAR,V-Dimension,v-dimension,,,,,
SUPERMAN,Superman,superman,,,,,
MUR,Mauritian Rupee,mauritian-rupee,,,,,
YUNO,YUNo.finance,yuno-finance,,,,,
FORK,Forkcoin,forkcoin,,,,,
GRWI,Growers International,growers-international,,,,,
VIO,Vio,vio,,,,,
DARK,DARK,dark,,,,,
BTV,BitVote,bitvote,,,,A DAO fork of Bitcoin,"BitVote is a Bitcoin fork designed to be a DAO with one-CPU-one-vote participation.
"
ORS,ORS Group,ors-group,,,,,
SXC,Sexcoin,sexcoin,,,,,
CHONK,Chonk Finance,chonk-finance,,Gaming,Media and Entertainment,,An experimental gamifying NFT protocol inspired by cats. $CHONK allows you to fish and catch specially curated NFT cards made by artist which can be sold on marketplaces. 
SFUEL,SparkPoint Fuel,sparkpoint-fuel,,,,,
MDO,Midas Dollar,midas-dollar,,,,,
ALT,Altcoin,altcoin,,,,,
HATCH,Hatch,hatch,,Currencies,Payments,A two-tier privacy-focused cryptocurrency masternode network,Hatch is a two-tier cryptocurrency network that employs a network of masternodes and optimizes for increased transaction speed and privacy.
BTCF,BTCF,btcf,,,,,
CHOW,CHOW,chow,,Wallet,Services,,
KUMA,KumaCoin,kumacoin,,,,,
BLACK,eosBLACK,eosblack,,,,,
TIV,TI-Value,ti-value,,,,,
NMS,Numus,numus,,,,,
HONEY,Honey,honey,,,,,
EDS,Endorsit,endorsit-1,,,,,
CSMIC,Cosmic,cosmic,,,,,
SCP,ScPrime,scprime,,File storage,Infrastructure,,
MANNA,Manna,manna,,,,,
YLA,PowerPool Yearn Lazy Ape Index,powerpool-yearn-lazy-ape-index,,Asset Management,Financial,,
MGCH,Magnachain,magnachain,,,,,
DON,Donationcoin,donationcoin,,,,,
CLINT,Clinton,clinton,,,,,
ULA,Ulatech,ulatech,,,,,
UET,Useless Ethereum Token,useless-ethereum-token,,,,,
NETCOIN,NetCoin,netcoin,,,,,
SPM,Supreme,supreme,,,,,
NRV,Nerve Finance,nerve-finance,,,,,
KURT,Kurrent,kurrent,,,,,
PZM,PRIZM,prizm,,,,,
RUPX,Rupaya,rupaya,,,,,
TRAD,Tradcoin,tradcoin,,,,,
CKS,Chicks,chicks,,,,,
HBZ,HBZ coin,hbz-coin,,,,,
CHAN,ChanCoin,chancoin,,,,,
WAB,WABnetwork,wabnetwork,,,,,
BLC,Blakecoin,blakecoin,,,,,
TCH,Thore Cash,thore-cash,,,,,
CLN,Colu Local Network,colu-local-network-1,,,,,
TFD,TE-FOOD,te-food,,,,,
EAGS,Eagscurrency,eagscurrency,,,,,
WINK,Wink,wink,,,,,
SHOT,MoonShot,moonshot,,,,,
ATOMIC,Atomic Coin,atomic-coin,,,,,
SOCC,SocialCoin,socialcoin,,,,,
K21,K21,k21,,Asset Management,Financial,,
COLX,ColossusXT,colossusxt,,,,A native asset for the Colossus Grid ,Colossus XT is the native asset for the compute power-sharing protocol Colossus Grid
CCT,Crystal Clear ,crystal-clear,,,,,
POA20,POA Network ERC20,poa-network-erc20,,,,,
TFL,Trueflip,trueflip,,,,Gambling/Betting: lottery,
BA,Bitalpha,bitalpha,,,,,
BRG,BorgCoin,borgcoin,,,,,
BSCX,BSCEX,bscex,,,,,
XYCC,XYCC Project (genetics),xycc-project-genetics,,,,,
NUKE,NukeCoin,nukecoin,,,,,
SDC12,SDC12,sdc12,,,,,
STA,Starta,starta-1,,,,,
XMT,Summit,summit,,,,,
MCR,Macro,macro,,,,,
ARH,ARH,arh,,,,,
TWERK,TWERK,twerk,,,,,
RBY,Rubycoin,rubycoin,,,,,
JPY,Japanese Yen,japanese-yen,,,,,
LST,Lendroid,lendroid,,Lending,Financial,Open protocol enabling decentralized lending and margin trading,"Lendroid is a non-custodial lending engine powering financial services on the Ethereum blockchain.

"
XPO,Opair,opair,,,,,
XAU,Gold,xau-gold,,,,,
PLUTO,Pluto,pluto,,,,,
ROYAL,RoyalCoin,royalcoin,,,,,
PARETO,PARETO Rewards,pareto-rewards,,,,,
KOI,Koicoin,koicoin,,,,,
ARNA,ARNA,arna,,,,,
TIG,Tigereum,tigereum-1,,,,,
ANAL,AnalCoin,analcoin,,,,,
S4F,S4FE,s4fe,,,,,"S4FE claims to be the world’s first blockchain-based global database for the registration and identification of stolen and lost items. The database is accessible to everyone and enables users to register and search for property. Property types include electronic devices, jewelry, personal collections, documents, sports and hobby equipment, vehicles and machines, and any other item representing value to its owner."
UTLE,UTLE,utle,,,,,
HORSE,Ethouse,ethouse,,,,,
IDXM,IDEX Membership,idex-membership,,,,,
BTR,Bitcoin Rhodium,bitcoin-rhodium,,,,A Bitcoin-branded blockchain with 10% of Bitcoin’s supply,"Bitcoin Rhodium is a Bitcoin-branded blockchain that doubles-down on Bitcoin’s supply scarcity. 
"
BITCSH,Bitcash,bitcash-1,,,,,
MERGEC,Merge Coin,merge-coin,,,,,
POSW,PoSW Coin,posw-coin,,,,,
EXB,Exabyte,exabyte,,,,,
TRCT,Tracto,tracto,,,,,
EDRA,EDRA,edra,,,,,
PTT,Proton Token,proton-token,,,,,
IFC,Infinitecoin,infinitecoin,,,,,
SHOP,Shopin,shopin-1,,,,,
CLP,Chilean Peso,chilean-peso,,,,,
BBO,Bigbom,bigbom-1,,,,,
LZE,LYZE,lyze,,,,,
YLD,YLD,yld,,Asset Management,Services,,
SOAR,Soarcoin,soarcoin,,,,,
DOX,DOX,dox,,,,,
XSY,Synapse,synapse-1,,,,,
DUR,Durer,durer,,,,,
OKT,OKExChain Coin,okexchain-coin,,Decentralized Exchanges,Financial,,OKExChain is an independent blockchain built by crypto exchange OKEx. It uses the Cosmos SDK framework and relies on Tendermint Proof-of-Stake (PoS) for network security. OKEx's long-term goal for OKExChain is to serve as an exchange-backed smart contract platform akin to Binance Smart Chain. OKT is the native token for OKExChain that gives voting rights to validators and a claim on staking rewards to validators and delegators.
LUCK,Luckcoin,luckcoin,,,,,
MCX,Matchi X,matchi-x,,Content Creation and Distribution,Media and Entertainment,,"The Machi X DAO is a member-directed organization where members pool resources, create proposals to improve Machi X, and approve governance changes for the Machi X ecosystem."
SET,Stasis,stasis,,,,A blockchain platform for tokenizing fiat monies,"Stasis is a blockchain platform designed to help governments tokenize fiat currencies.
"
PHN,Phillion,phillion,,,,,
NTO,Fujinto,fujinto,,,,,
APEX,ApexCoin,apexcoin,,,,,
CTC,Culture Ticket Chain,culture-ticket-chain,,,,,
SNOV,Snovian.Space,snovian-space,,,,,
MARS2,MarsBux2,marsbux2,,,,,
PENG,PENG,peng,,,,,
NOBS,No BS Crypto,no-bs-crypto,,Information,Services,,
SMS,Speed Mining Service,speed-mining-service-1,,,,,
POUND,BitPound,bitpound,,,,,
FLUZ,Fluz Fluz,fluz-fluz,,,,,
XCE,Cerium,cerium,,,,,
STHR,Stakerush,stakerush,,,,,
ETH3X,ETH3X,eth3x,,,,,
EQL,Equal,equal,,,,,
CLAM,CLAMs,clams,,Currencies,Payments,"A Bitcoin, Litecoin, and Dogecoin airdropped token","Clams is a Bitcoin airdrop token that is credited to every address with more than 0.0001 BTC worth of Bitcoin, Litecoin, or Dogecoin.
"
CHERRY,Cherry,cherry,,,,,
YUMI,Yumi,yumi,,,,,
PND,Pandacoin,pandacoin,,,,,
VOT,VoteCoin,votecoin,,,,,
PBS,PBS,pbs,,,,,
UKG,UnikoinGold,unikoingold,,,,eSports bookmaker,UnikoinGold is an Ethereum based token created for the Unikrn e-sports platform.
BET,BetaCoin,betacoin,,,,,
ACOIN,Acoin,acoin,,,,,
BBH,BBH,bbh,,,,,
RWS,Robonomics Web Services,robonomics-web-services,,IoT,Infrastructure,,
RNTB,BitRent,bitrent-1,,,,,
BTPL,Bitcoin Planet,bitcoin-planet,,,,,
NEVA,NevaCoin,nevacoin,,,,,
SHRP,Sharp,sharp,,,,,
NDAO,NeuroDAO,neurodao,,,,,
XAV,Xavier,xavier,,,,,
GRX,GOLD Reward Token,gold-reward-token,,,,,
TAO,Tao Network,tao,,Content Creation and Distribution,Infrastructure,A blockchain platform tailored to the music industry,Tao is a blockchain designed for content creators and consumers in the music industry. 
ETHD,Ethereum Dark,ethereum-dark,,,,,
BAR,Titanium BAR Token,titanium-bar-token,,,,,
C2,Coin2.1,coin2-1,,,,,
BQ,bitqy,bitqy,,,,,
SPEX,Sprouts Extreme,sprouts-extreme,,,,,
SYNX,Syndicate,syndicate,,,,,
AFC,AFC,afc,,,,,
EDIC,E-Dinar Coin,e-dinar-coin-1,,,,,
BTCD,BitcoinDark,bitcoindark,,,,,
PWR,PWR Coin,pwr-coin,,,,,
CHEAP,Cheapcoin,cheapcoin,,,,,
DCCH,Distributed Credit Chain,distributed-credit-chain-1,,,,,
SLFI,Selfie,selfie,,,,,
BMRK,Bitmark,bitmark,,,,,
ABLD,ABLE D,able-d,,,,,
ASN,ascension,ascension,,,,,
RPT,RPT,rpt,,,,,
ORO,Orocoin,orocoin,,,,,
TPT,TPT,tpt,,,,,
KINE,KINE,kine,,Derivatives,Financial,,
ICOB,ICOBID,icobid-1,,,,,
SPRTS,Sprouts,sprouts,,,,,
YTS,YetiSwap,yetiswap,,,,,
VMC,Vereum,vereum,,,,,
RR,RR,rr,,,,,
ODNT,Old Dogs New Tricks,old-dogs-new-tricks,,,,,
PPS,Prophet Set,prophet-set,,,,,
ROE,Rover Coin,rover-coin,,,,,
CAT,BitClave,bitclave-1,,,,,
RBBT,RabbitCoin,rabbitcoin,,,,,
WCT,Waves Community Token,waves-community-token,,,,,
WOW,Wowcoin,wowcoin,,,,,
CRAFT,Craftcoin,craftcoin,,,,,
PEPE,PepeCoin,pepecoin,,,,,
MGX,MegaX,megax,,,,,
NOAH,Noah Coin,noah-coin,,,,,
J8T,JET8,jet8-1,,,,,
HDLB,HODL Bucks,hodl-bucks,,,,,
NGM,e-Money,e-money,,,,,
SHEEP,Sheepcoin,sheepcoin,,,,,
VTL,VTL,vtl,,,,,
PLX,PlexCoin,plexcoin-1,,,,,
CIRC,CryptoCircuits,cryptocircuits,,,,,
GIN,GINcoin,gincoin,,,,,
CO2,ClimateCoin,climatecoin-1,,,,,
CAMP,Camp Global,camp-global,,Asset Management,Services,,
QCN,QuazarCoin,quazarcoin,,,,,
ATX,Aston,aston,,,,,
LCWP,LiteCoinW Plus,litecoinw-plus,,,,,
TNC,Trinity,trinity,,Scaling,Infrastructure,Off-chain scaling solution ,"Trinity is a universal off-chain scaling solution, which aims to achieve real-time payments with low transaction fees, scalability and privacy protection for mainchain assets. "
SATM,Satoshi Madness,satoshi-madness,,,,,
CRYPT,CryptCoin,cryptcoin,,,,,
COB,Cobinhood,cobinhood-1,,,,,
SWING,Swing,swing,,,,,
XRIBA,Xriba,xriba-1,,,,,
EXUS,EXUS,exus,,,,,
XUP,UPcoin,upcoin,,,,,
CJC,CryptoJournal,cryptojournal,,,,,
SJW,SJWCoin,sjwcoin,,,,,
SDP,SydPakCoin,sydpakcoin,,,,,
XSSX,XSSX,xssx,,,,,
MRX,Metrix Coin,metrix-coin,,,,,
BOAT,BOAT,boat,,,,,
FRE,FreeCoin,freecoin,,,,,
B2B,B2BX,b2bx-1,,,,,
UMC,Umbrella Coin,umbrella-coin-1,,,,,
HAND,ShowHand,showhand,,Gaming,Media and Entertainment,,Showhand is developing a peer-to-peer gaming platform that is aiming to launch in 2020. 
JIYO,Jiyo [OLD],jiyo-old,,,,,
EOSDAC,eosDAC,eosdac,,,,,
STMPNK,SteamPunk,steampunk,,,,,
DP,DigitalPrice,digitalprice,,,,,
BTCV,Bitcoin Blvck,bitcoin-blvck,,,,A Bitcoin fork for Internet browser mining and untraceable transactions,"Bitcoin Blvck was a planned Bitcoin fork that focused on mining decentralization and untraceable on-chain transactions.
"
IMOS,IMOS,imos,,,,,
RARE,Unique One,unique-one,,Virtual and Augmented Reality,Media and Entertainment,The World’s First Decentralized NFT Photography Marketplace.,"Unique One is a community owned Digital Art NFT Marketplace with zero fees and rewards for creation, transaction and artist contests.

Unique one is also developing Unique.Photo, an NFT photography marketplace that utilizes its own token, FOTO. "
BONDLY,Bondly,bondly,,Decentralized Exchanges,Financial,,
007,007 coin,007-coin,,,,,
ATL,ATLANT,atlant-1,,,,,
SENSE,Sense,sense-1,,,,,
BKX,BANKEX,bankex-1,,,,,
MUU,MilkCoin,milkcoin-1,,,,,
GRMD,GreenMed,greenmed-1,,,,,
ECCHI,ECCHI,ecchi,,,,,
BCH3NX,BCH3NX,bch3nx,,,,,
BUCKS,SwagBucks,swagbucks,,,,,
CJ,Cryptojacks,cryptojacks,,,,,
BLUS,Bluesteel,bluesteel,,,,,
EBH,EBH,ebh,,,,,
BTCM,BTCMoon,btcmoon,,,,,
NRN,Neuron,neuron,,,,,
MTRC,ModulTrade,modultrade-1,,,,,
QAC,Quasarcoin,quasarcoin,,,,,
NASGO,Nasgo,nasgo,,,,,
BCWO,Bitcoin Wonder,bitcoin-wonder-1,,,,,
ZENI,Zennies,zennies,,,,,
OPCX,OPCoinX,opcoinx,,,,,
BLITZ,Blitz,blitz,,,,,
SQR,Squeezer,squeezer-1,,,,,
EOC,einaiora,einaiora,,,,,
BOXT,BOX Token,box-token,,,,,
DEB,Debitum,debitum,,,,,
XYZ,XYZCoin,xyzcoin,,,,,
ZLQ,ZLiteQubit,zlitequbit,,,,,
MAPC,MapCoin,mapcoin,,,,,
UEURN,UEURN,ueurn,,,,,
TRI,Triangles,triangles,,,,,
ALXO,Alxocity,alxocity,,,,,
EQUAL,EqualCoin,equalcoin,,,,,
JACK,Blackjack,blackjack,,,,,
FCN,Fantomcoin,fantomcoin,,,,,
EFX,Effect.AI,effect-ai-1,,,,,
N7,Number7,number7,,,,,
EGC,EverGreenCoin,evergreencoin,,,,,
ATT,Artube,artube,,Content Creation and Distribution,Infrastructure,,
EPACOIN,Epacoin,epacoin,,,,,
DQUICK,Dragon's Quick,dragons-quick,,,,,
BGF,Big Gold Fish,big-gold-fish,,,,,
BART,BART,bart,,,,,
SNPT,SNPT,snpt,,,,,
RURET,RURET,ruret,,,,,
CORAL,CoralPay,coralpay,,,,,
MBRS,Embers,embers,,,,,
LUMI,LUMI,lumi,,,,,
VPP,Virtue Poker,virtue-poker,,,,A decentralized peer-to-peer poker platform built on Ethereum,
PGO,parkinGO,parkingo,,,,,
RBM,Robomed Network Token,robomed-network-token,,,,,
NAMO,NamoCoin,namocoin,,,,,
TRYL,Lirasis TRY,lirasis-try,,,,,
SDC,ShadowCash,shadowcash,,,,,
CAPT,CAPT,capt,,,,,
SEQ,Sequence,sequence,,,,,
TODAY,TodayCoin,todaycoin,,,,,
KUN,KUN,kun,,,,,
LTB,LiteBar,litebar,,,,,
PAYT,PayToken,paytoken,,,,,
DIN,Dinero,dinero,,,,,
JW,Johnnie Walker,johnnie-walker,,,,,
RATIO,Ratio,ratio,,,,,
MMNXT,MMNXT,mmnxt,,,,,
RKC,Royal Kingdom Coin,royal-kingdom-coin-1,,,,,
B2,B2,b2,,,,,
GET,Themis,themis-1,,,,,
XAP,Apollon,apollon,,,,,
WDC,WorldCoin,worldcoin,,,,,
BRIT,BritCoin,britcoin,,,,,
EPY,Emphy,emphy-1,,,,,
SERV,Serve,serve,,,,,
WEX,WaultSwap,waultswap,,,,,
DLISK,Dlisk,dlisk,,,,,
ERR,ErrorCoin,errorcoin,,,,,
ATFS,ATFS,atfs,,,,,
CANDY,Candy,candy,,,,,
BBR,Boolberry,boolberry,,,,,
BS,BlackShadowCoin,blackshadowcoin,,,,,
SPND,Spendchain,spendcoin,,Payment Platforms,Financial,,"Spendchain aims to be the world’s first cross-chain interoperable blockchain payment protocol creating a fraud-free, optional biometrics-based system, utilizing mobile phones. Spendchain may be utilized for both consumers and merchants to have access to a payment platform that gives them a selection of payment instruments"
SNET,Snetwork,snetwork,,,,,
GRAV,Graviton,graviton,,,,,
CYDER,Cyder,cyder,,,,,
IZE,IZEcoin,izecoin,,,,,
PING,CryptoPing,cryptoping-1,,,,,
CCL,CYCLEAN,cyclean,,,,,
AI,POLY AI,poly-ai,,,,,
KEY,KEY,key-1,,,,,
1337,Elite,elite,,,,,
GREXIT,GrexitCoin,grexitcoin,,,,,
ZPR,ZPER,zper-1,,,,,
PLN,Polish Zloty,polish-zloty,,,,,
LADACOIN,LADACoin,ladacoin,,,,,
YBC,YbCoin,ybcoin,,,,,
BICC,BitClassic Coin,bitclassic-coin,,,,A Bitcoin fork for experimenting with bigger blocks,"BitClassic Coin is an experimental fork of Bitcoin with larger blocks and a pre-mine. 
"
MBIT,Mbitbooks,mbitbooks,,,,,
